order_id,product_id,quantity,unit_price
O100023,P100963,1,345.61
O100024,P100346,3,375.82
O100024,P101769,3,268.33
O100025,P100010,3,365.24
O100025,P100559,3,354.79
O100025,P101589,1,212.39
O100025,P100487,1,97.6
O100026,P101365,2,275.08
O100026,P101080,2,372.55
O100026,P100828,3,89.2
O100026,P101184,2,62.77
O100026,P101262,1,368.9
O100027,P101327,3,353.89
O100027,P100234,2,148.48
O100027,P101529,2,87.48
O100028,P100377,3,469.58
O100028,P101980,3,437.74
O100028,P101456,1,154.08
O100028,P100511,3,78.34
O100028,P100147,3,284.71
O100029,P100566,1,185.56
O100029,P101334,1,141.67
O100030,P100846,1,387.45
O100031,P100295,1,33.71
O100031,P101608,1,484.23
O100031,P100665,2,384.54
O100031,P101062,3,451.98
O100032,P101756,3,211.3
O100032,P100797,2,289.28
O100033,P101003,2,112.07
O100033,P100895,1,449.63
O100034,P100949,1,355.38
O100034,P101820,1,23.58
O100034,P101073,2,394.71
O100034,P100226,2,192.91
O100035,P100362,2,300.08
O100035,P100969,3,424.08
O100035,P100930,2,348.06
O100036,P100920,1,147.24
O100036,P100564,2,254.19
O100037,P100328,2,80.2
O100037,P101853,1,272.37
O100037,P100480,3,280.35
O100038,P101942,3,244.26
O100038,P101912,1,157.25
O100039,P101069,2,357.3
O100039,P100556,3,303.59
O100039,P100635,3,347.72
O100040,P101161,1,156.0
O100041,P100516,1,37.84
O100041,P101368,3,405.34
O100041,P101176,3,340.7
O100042,P101082,1,312.95
O100042,P100040,2,174.87
O100042,P101576,3,237.28
O100042,P100698,1,161.26
O100043,P100222,3,194.91
O100043,P101565,2,138.49
O100044,P101200,1,416.03
O100044,P101371,3,76.95
O100044,P100730,1,146.22
O100045,P100401,1,427.79
O100045,P101756,2,216.17
O100045,P101554,1,119.46
O100045,P101009,1,14.65
O100045,P101151,1,360.82
O100046,P101157,1,287.23
O100047,P100419,2,240.98
O100048,P100210,3,52.53
O100049,P100903,3,262.4
O100049,P101511,1,322.99
O100049,P100198,1,17.86
O100049,P101880,3,258.81
O100049,P100574,3,237.16
O100050,P101829,1,238.54
O100050,P101891,1,205.17
O100050,P100191,2,50.25
O100050,P101099,3,377.74
O100051,P100090,2,263.08
O100051,P101108,1,476.26
O100052,P101896,2,230.08
O100053,P101629,2,124.97
O100053,P100204,1,184.17
O100054,P101894,3,248.01
O100054,P100874,3,135.36
O100055,P101542,2,290.49
O100055,P100336,1,91.89
O100055,P101284,3,74.5
O100056,P100394,1,84.88
O100056,P100479,3,192.19
O100056,P100367,1,7.0
O100057,P100271,2,412.39
O100057,P101355,2,425.65
O100058,P100064,1,233.93
O100058,P101482,1,161.14
O100059,P101709,3,304.58
O100059,P101408,1,101.63
O100059,P100325,2,294.72
O100060,P100767,1,5.02
O100060,P101401,2,324.94
O100061,P100433,1,94.81
O100061,P100222,2,193.3
O100062,P100545,3,352.51
O100062,P101136,3,342.18
O100063,P101841,3,188.27
O100063,P101815,2,293.09
O100063,P101217,3,9.07
O100063,P100441,2,336.39
O100063,P101251,2,192.27
O100064,P101241,1,328.86
O100064,P101634,1,344.94
O100064,P100605,2,387.9
O100065,P101899,1,412.05
O100065,P100236,3,16.67
O100065,P100110,1,77.39
O100065,P101092,1,325.86
O100066,P101862,3,56.65
O100066,P101510,1,387.38
O100066,P100368,3,276.64
O100066,P101636,1,227.08
O100067,P101041,3,418.7
O100068,P100494,3,340.34
O100069,P101075,3,339.61
O100069,P100534,2,11.86
O100069,P101695,1,401.57
O100070,P101741,1,30.2
O100070,P101617,1,159.36
O100070,P100183,3,199.32
O100070,P100905,1,223.21
O100071,P100164,3,103.03
O100071,P100943,1,365.08
O100071,P101735,2,442.11
O100071,P101567,1,287.73
O100071,P101587,3,262.41
O100072,P100171,2,217.3
O100073,P100166,1,103.92
O100073,P100984,1,229.73
O100073,P101831,3,69.52
O100073,P100117,3,441.9
O100073,P101238,1,371.75
O100074,P100640,2,330.39
O100074,P101627,3,354.53
O100074,P101541,2,369.87
O100075,P101117,1,122.28
O100076,P101105,2,351.88
O100076,P101069,1,337.41
O100076,P101688,2,467.25
O100076,P101614,1,302.4
O100076,P100960,1,264.95
O100077,P100053,1,239.39
O100077,P100005,3,261.02
O100077,P100503,2,385.59
O100077,P100699,1,374.51
O100078,P100563,3,175.65
O100078,P100773,3,298.2
O100078,P100845,1,228.18
O100078,P101047,1,53.37
O100078,P100756,3,372.09
O100079,P101682,1,185.65
O100079,P100768,3,215.8
O100079,P101462,1,243.01
O100080,P100832,1,5.62
O100081,P101753,3,385.75
O100081,P101265,2,160.13
O100081,P100034,3,339.27
O100081,P101951,3,364.49
O100081,P100132,1,199.04
O100082,P101900,1,110.98
O100083,P101709,3,294.65
O100083,P101138,3,446.51
O100083,P100535,3,107.38
O100084,P101121,2,292.86
O100084,P101906,1,443.4
O100085,P101470,1,275.82
O100085,P100131,2,176.53
O100085,P100317,3,405.83
O100085,P101426,2,390.92
O100086,P101486,1,22.01
O100086,P101321,3,409.41
O100086,P100629,2,323.03
O100087,P100497,2,8.47
O100088,P100754,3,302.18
O100088,P101082,2,315.17
O100089,P101967,2,443.85
O100089,P101788,1,346.29
O100089,P100597,3,353.26
O100090,P101937,2,340.71
O100090,P101774,1,263.84
O100090,P101615,1,136.81
O100091,P100696,3,64.58
O100091,P100601,1,19.6
O100091,P101866,3,439.78
O100092,P100962,2,359.44
O100093,P101767,2,79.73
O100093,P101966,3,389.49
O100093,P101880,1,268.79
O100094,P100754,1,296.93
O100095,P101062,1,479.05
O100095,P100564,2,248.12
O100095,P100274,2,389.72
O100095,P101427,1,339.87
O100095,P100696,1,61.95
O100096,P101746,2,126.16
O100097,P100427,2,288.55
O100097,P101077,2,254.84
O100098,P100808,3,199.26
O100099,P101650,1,196.75
O100099,P101456,3,157.82
O100100,P101477,1,452.75
O100100,P101242,1,93.83
O100100,P100187,3,22.02
O100100,P101008,1,276.52
O100101,P100462,1,42.06
O100101,P101750,1,328.59
O100101,P101958,1,378.89
O100102,P101559,3,21.55
O100102,P101969,2,134.79
O100102,P100195,2,383.78
O100102,P101757,2,335.5
O100102,P101475,3,389.56
O100103,P101866,1,448.81
O100104,P101660,1,454.64
O100105,P101594,2,289.22
O100105,P100261,3,395.08
O100105,P100026,1,78.96
O100106,P100967,3,262.01
O100106,P100540,3,280.3
O100106,P101220,1,305.89
O100107,P101877,1,75.13
O100107,P101392,1,122.67
O100107,P101248,2,193.94
O100107,P100118,1,67.53
O100108,P101655,1,175.23
O100109,P100587,1,206.33
O100109,P100462,1,39.99
O100109,P100977,2,91.94
O100109,P101201,1,113.27
O100109,P100834,1,35.14
O100110,P101928,1,428.52
O100110,P101035,1,98.26
O100111,P100563,2,179.26
O100111,P100157,1,406.13
O100111,P100074,3,170.64
O100111,P101496,2,416.89
O100112,P100834,3,34.65
O100112,P100751,3,307.41
O100112,P101622,2,443.47
O100112,P101916,2,400.49
O100112,P101978,3,287.62
O100113,P100238,3,352.38
O100114,P101922,1,470.91
O100115,P101065,1,119.38
O100116,P101811,3,277.24
O100116,P101784,1,170.6
O100116,P101402,2,248.88
O100116,P101925,3,457.4
O100117,P101572,1,245.22
O100117,P100697,2,34.08
O100118,P101042,3,411.03
O100118,P101171,1,450.75
O100118,P101735,2,461.42
O100118,P101149,3,489.66
O100119,P100431,3,74.22
O100119,P100594,3,189.75
O100119,P100237,1,116.0
O100119,P101135,1,322.88
O100119,P100916,1,36.7
O100120,P100976,3,84.01
O100120,P101508,3,256.77
O100121,P100434,1,427.53
O100122,P101482,1,155.75
O100122,P101366,2,266.33
O100122,P101421,1,470.43
O100122,P100097,3,299.35
O100122,P101156,3,104.55
O100123,P100585,3,271.0
O100123,P100032,3,68.68
O100123,P100522,3,21.63
O100124,P101548,3,402.55
O100124,P101277,3,392.93
O100124,P101278,3,141.74
O100124,P101780,3,390.24
O100125,P101314,3,164.14
O100125,P101527,3,423.13
O100125,P101558,2,207.19
O100125,P101069,2,337.21
O100125,P101604,2,242.72
O100126,P100508,1,427.86
O100126,P100210,2,47.43
O100126,P101024,2,40.34
O100126,P101622,1,477.83
O100126,P101823,1,276.65
O100127,P100602,1,330.48
O100127,P100880,2,76.52
O100128,P100835,3,48.28
O100129,P100968,1,125.88
O100129,P100241,2,420.43
O100129,P101991,1,66.6
O100129,P100356,3,32.06
O100129,P101150,3,228.95
O100130,P100451,2,337.28
O100130,P101233,2,433.5
O100130,P101840,3,377.94
O100130,P101837,3,435.74
O100130,P101712,2,225.08
O100131,P101966,2,405.14
O100131,P100241,1,426.39
O100131,P101159,3,41.21
O100132,P101124,1,350.02
O100133,P101115,3,315.97
O100133,P101353,2,341.69
O100133,P101127,2,335.38
O100134,P100833,3,70.9
O100134,P101698,1,192.83
O100134,P100986,2,368.9
O100135,P101569,1,441.82
O100135,P100642,3,147.43
O100136,P100515,1,329.3
O100137,P101108,1,455.71
O100137,P101630,2,15.58
O100137,P100556,3,315.79
O100137,P101750,1,332.28
O100138,P100979,1,236.97
O100138,P101367,3,11.31
O100139,P101858,2,245.1
O100139,P100112,1,205.68
O100139,P101563,2,211.68
O100139,P100153,1,454.42
O100140,P100685,1,371.67
O100140,P100135,2,460.74
O100140,P101253,3,213.2
O100140,P100600,3,184.43
O100140,P101756,3,215.35
O100141,P100835,1,49.09
O100141,P101068,1,153.78
O100141,P101944,2,89.35
O100141,P101284,1,74.74
O100142,P100451,3,323.66
O100142,P100034,2,327.54
O100142,P101226,2,465.81
O100143,P101462,2,249.59
O100144,P101562,2,80.62
O100144,P101221,1,87.84
O100144,P101137,1,372.77
O100144,P101007,3,205.51
O100145,P101889,2,206.53
O100145,P100329,3,387.1
O100145,P101232,1,162.79
O100145,P100539,1,465.46
O100146,P101381,3,184.94
O100146,P101987,1,326.07
O100146,P100929,1,206.71
O100146,P100271,2,407.9
O100146,P101905,1,148.77
O100147,P100222,2,199.9
O100147,P100162,2,325.01
O100147,P101739,1,293.86
O100147,P100160,3,284.9
O100148,P100230,1,262.79
O100148,P100487,3,103.29
O100148,P100650,1,345.33
O100148,P101118,3,416.22
O100149,P100248,1,300.43
O100149,P100152,3,341.92
O100149,P100628,2,69.26
O100149,P101486,1,22.81
O100150,P100097,1,315.2
O100150,P100602,3,305.69
O100150,P101674,1,70.41
O100151,P100108,1,303.18
O100151,P101396,2,312.62
O100151,P100815,2,70.48
O100152,P101853,2,294.23
O100152,P101023,3,374.4
O100153,P100153,1,462.21
O100153,P101308,1,382.33
O100154,P101098,1,138.52
O100154,P100396,2,385.53
O100154,P101994,2,172.56
O100154,P101118,2,406.13
O100154,P101006,3,389.75
O100155,P100478,2,9.66
O100155,P100474,3,366.95
O100155,P100235,3,91.27
O100155,P101395,2,31.36
O100156,P100468,3,296.41
O100156,P101965,3,158.25
O100156,P101608,3,470.48
O100157,P100824,3,474.96
O100157,P100243,2,8.44
O100157,P100125,2,409.57
O100157,P101016,1,28.02
O100158,P101597,1,278.87
O100158,P100031,2,348.01
O100158,P100770,3,142.33
O100158,P101349,1,322.35
O100158,P101288,2,262.38
O100159,P100176,2,246.57
O100159,P101350,2,10.58
O100160,P101104,2,256.91
O100160,P101406,2,388.8
O100160,P100307,3,228.56
O100161,P100148,3,16.94
O100161,P101162,2,413.64
O100162,P101955,1,350.88
O100162,P101094,3,143.2
O100162,P100880,3,76.88
O100162,P100591,3,487.07
O100162,P101951,1,362.19
O100163,P101742,2,356.08
O100164,P101416,3,405.38
O100164,P101723,3,347.2
O100164,P101472,3,31.07
O100164,P100513,3,373.09
O100164,P101327,1,346.46
O100165,P100691,3,72.95
O100165,P101133,3,165.08
O100165,P100172,2,102.86
O100165,P101282,3,69.14
O100165,P101971,1,148.94
O100166,P100187,2,22.58
O100166,P100481,3,459.5
O100166,P100799,2,446.87
O100166,P101575,3,281.37
O100167,P100925,2,462.69
O100167,P100159,3,93.48
O100167,P101285,3,316.32
O100167,P101013,3,226.49
O100167,P100787,3,77.04
O100168,P101176,2,326.41
O100168,P101471,1,241.64
O100168,P100265,2,426.97
O100168,P100401,2,458.5
O100168,P100078,3,337.91
O100169,P100001,2,200.28
O100169,P101397,3,368.41
O100169,P100755,1,372.82
O100169,P101808,1,48.23
O100169,P101777,2,113.27
O100170,P100780,3,179.1
O100170,P101404,2,471.95
O100170,P100062,3,383.11
O100170,P100572,3,232.01
O100171,P101745,2,273.38
O100171,P100373,3,176.96
O100171,P101215,2,263.36
O100172,P101692,3,231.37
O100172,P101307,1,107.4
O100172,P100272,3,391.3
O100173,P101734,2,300.51
O100173,P101700,1,101.58
O100173,P100398,3,31.81
O100173,P101891,3,212.06
O100173,P100696,2,61.12
O100174,P101401,3,353.74
O100175,P101091,2,232.58
O100175,P101909,2,45.45
O100176,P100796,1,448.27
O100176,P100351,2,205.23
O100176,P100453,3,413.13
O100177,P101245,3,344.57
O100177,P100457,3,238.42
O100177,P101455,2,152.33
O100177,P100052,3,140.15
O100177,P100538,2,299.92
O100178,P100664,1,333.89
O100178,P101548,2,405.33
O100178,P100588,2,145.24
O100178,P100397,2,56.21
O100178,P100245,3,200.69
O100179,P100152,1,355.13
O100179,P101226,2,454.6
O100179,P100407,3,205.02
O100179,P100683,3,268.44
O100179,P101624,1,29.78
O100180,P100430,2,38.63
O100180,P100666,2,310.39
O100180,P100669,2,265.61
O100181,P101492,1,457.57
O100181,P101814,1,187.06
O100182,P101490,3,376.32
O100182,P101635,2,305.06
O100182,P100649,1,342.67
O100182,P101271,2,145.28
O100183,P101427,3,344.39
O100183,P100580,1,19.95
O100184,P100363,2,126.08
O100184,P101083,1,238.5
O100184,P101072,2,329.35
O100185,P101500,1,337.61
O100185,P100013,2,242.17
O100185,P100481,3,465.61
O100185,P101754,2,268.55
O100185,P101823,1,301.76
O100186,P101657,2,145.9
O100186,P101956,2,252.77
O100186,P101195,3,342.56
O100186,P101544,2,20.03
O100186,P100572,2,249.38
O100187,P101009,3,14.5
O100187,P100690,3,228.28
O100188,P101108,3,460.59
O100188,P101204,2,305.24
O100188,P101631,2,179.91
O100189,P100589,1,303.98
O100189,P100623,3,270.19
O100189,P101981,1,194.96
O100189,P100876,2,305.93
O100189,P101909,1,48.94
O100190,P100319,2,258.71
O100191,P101200,3,426.82
O100191,P100148,1,16.93
O100192,P101636,2,242.52
O100193,P100426,1,429.26
O100194,P100069,3,16.79
O100194,P101296,2,280.96
O100194,P100373,3,171.44
O100194,P100621,2,393.48
O100195,P101263,2,360.56
O100195,P101269,3,387.14
O100195,P101023,3,393.17
O100195,P100454,2,106.96
O100195,P101305,2,392.02
O100196,P101317,2,99.9
O100196,P100013,1,242.31
O100196,P101055,3,87.0
O100197,P100589,1,318.3
O100197,P100142,3,149.35
O100197,P101666,1,483.15
O100198,P101509,1,162.17
O100199,P100258,1,382.12
O100200,P101283,2,387.66
O100201,P100772,3,335.05
O100202,P101064,1,456.57
O100203,P100327,1,432.98
O100203,P100948,2,370.99
O100203,P100338,2,256.9
O100203,P101446,1,371.22
O100204,P101611,1,370.14
O100204,P100983,2,106.05
O100205,P101151,3,345.02
O100205,P100277,2,345.9
O100205,P101169,1,257.2
O100206,P100184,3,157.01
O100206,P101750,3,329.22
O100206,P100783,3,456.79
O100206,P101494,1,300.74
O100206,P101125,1,144.38
O100207,P101321,2,388.59
O100208,P101407,1,83.18
O100208,P101612,3,276.12
O100208,P101896,3,226.29
O100208,P101979,1,219.07
O100209,P100667,1,57.54
O100210,P101956,3,253.93
O100210,P100438,3,371.56
O100210,P100350,1,372.45
O100210,P101637,2,441.27
O100210,P101198,1,285.53
O100211,P101132,3,331.85
O100211,P101836,1,388.36
O100212,P101438,1,198.4
O100212,P101752,3,214.5
O100212,P101138,2,424.88
O100213,P101001,3,275.74
O100214,P100448,1,358.01
O100214,P100593,1,146.87
O100214,P101169,2,255.43
O100214,P100519,3,65.19
O100215,P101251,3,201.51
O100215,P100369,2,43.38
O100215,P101736,3,182.96
O100215,P100382,3,62.83
O100216,P100331,1,245.66
O100217,P100959,3,287.98
O100217,P101472,1,29.47
O100217,P101449,2,88.07
O100217,P101948,3,332.33
O100217,P101062,1,444.95
O100218,P101663,3,377.08
O100219,P100275,2,84.36
O100220,P101122,1,70.99
O100221,P100543,3,305.63
O100222,P101062,3,463.23
O100222,P101165,2,290.98
O100222,P100431,3,73.53
O100222,P101443,2,249.94
O100223,P100378,1,239.92
O100223,P100807,1,299.71
O100223,P101889,1,191.52
O100224,P100618,1,466.21
O100224,P101321,1,415.66
O100224,P101751,3,348.06
O100225,P100136,2,451.57
O100225,P100333,1,389.39
O100225,P101168,1,401.13
O100225,P100305,3,106.61
O100226,P101534,2,124.4
O100226,P100189,2,205.64
O100226,P100567,3,267.33
O100226,P101047,1,48.38
O100226,P101686,1,12.28
O100227,P100851,2,168.76
O100227,P101406,3,392.72
O100227,P101246,1,163.91
O100227,P100099,3,186.68
O100227,P100310,1,213.21
O100228,P101775,3,222.36
O100229,P100839,2,270.07
O100229,P100285,1,404.22
O100229,P101579,3,37.01
O100229,P100237,1,116.98
O100230,P100265,1,405.69
O100231,P101477,1,448.1
O100231,P101480,2,238.99
O100231,P101895,3,97.14
O100231,P101909,1,45.55
O100231,P101275,3,104.49
O100232,P100601,3,18.09
O100233,P100690,1,220.05
O100233,P101352,1,203.26
O100233,P101795,3,376.12
O100233,P101590,3,248.96
O100234,P100360,1,182.42
O100234,P100046,3,107.42
O100234,P101280,3,54.17
O100235,P101760,1,269.53
O100235,P100668,1,307.49
O100235,P100587,2,197.46
O100236,P100396,3,398.79
O100236,P101981,2,193.16
O100236,P101719,1,103.1
O100236,P101507,3,269.71
O100236,P101906,1,452.72
O100237,P101221,2,85.81
O100237,P101422,3,48.19
O100237,P100034,1,320.2
O100237,P100929,1,207.9
O100237,P100390,2,141.66
O100238,P100668,3,314.77
O100238,P100628,1,66.51
O100238,P100055,2,277.56
O100238,P101818,3,90.53
O100238,P100052,1,147.54
O100239,P100865,1,30.01
O100240,P100981,1,364.79
O100240,P100569,1,259.65
O100241,P100125,2,403.67
O100241,P101974,1,415.53
O100241,P101765,3,175.42
O100241,P100467,1,373.0
O100241,P100576,3,275.01
O100242,P100701,2,363.45
O100243,P101695,3,427.67
O100243,P100015,1,426.63
O100244,P100066,1,116.94
O100244,P100034,3,324.86
O100244,P101853,2,300.75
O100245,P101872,3,342.12
O100245,P100866,2,133.38
O100245,P100759,2,67.6
O100245,P101594,2,297.48
O100245,P100870,1,104.28
O100246,P100982,1,410.97
O100246,P101659,2,69.04
O100246,P100005,1,254.9
O100247,P101575,1,300.07
O100248,P100251,1,92.2
O100248,P101650,3,211.95
O100248,P101134,1,322.68
O100248,P100816,2,165.22
O100248,P100184,2,146.54
O100249,P100087,3,161.23
O100249,P100199,3,305.62
O100249,P100917,1,400.25
O100249,P100062,3,382.42
O100249,P100701,3,355.59
O100250,P100400,3,204.36
O100251,P100208,1,224.51
O100251,P101459,1,285.77
O100251,P101984,1,241.23
O100251,P100589,2,318.95
O100252,P101007,2,196.42
O100252,P100820,1,416.08
O100252,P100402,1,382.89
O100253,P100372,2,88.37
O100253,P101081,3,453.63
O100253,P100872,3,230.53
O100253,P100519,2,60.0
O100254,P101149,1,461.55
O100255,P101243,2,114.75
O100255,P101658,2,464.81
O100256,P101821,2,140.85
O100256,P100304,1,47.38
O100256,P100131,3,176.01
O100256,P100283,3,23.02
O100257,P100065,1,142.76
O100258,P100849,2,320.5
O100258,P101976,2,72.52
O100258,P100051,1,256.9
O100258,P100103,2,386.46
O100259,P100254,2,425.56
O100259,P101533,3,340.32
O100259,P100483,3,191.73
O100259,P101130,1,152.09
O100260,P101550,3,354.62
O100260,P101292,3,95.75
O100260,P100006,2,366.87
O100260,P101449,1,89.78
O100260,P100352,1,363.31
O100261,P101027,1,221.81
O100261,P100609,3,302.13
O100261,P101682,2,188.39
O100261,P100808,3,205.9
O100261,P101009,3,14.32
O100262,P100406,2,185.88
O100263,P101666,2,466.95
O100264,P101535,2,14.79
O100264,P101859,2,379.99
O100264,P100304,1,48.05
O100264,P101950,1,341.97
O100264,P101169,2,255.08
O100265,P101560,2,139.45
O100265,P100431,3,73.14
O100266,P101371,3,77.19
O100266,P101193,3,104.83
O100266,P101250,2,144.17
O100266,P100137,3,191.95
O100266,P100540,1,298.41
O100267,P100053,1,236.1
O100267,P101055,2,88.04
O100268,P101729,1,185.49
O100268,P100841,1,47.42
O100268,P101353,3,362.95
O100268,P101291,3,392.69
O100268,P100194,3,285.92
O100269,P100481,2,473.31
O100270,P101170,3,239.22
O100270,P101812,3,83.53
O100270,P100300,1,132.48
O100270,P100910,1,23.31
O100270,P101100,3,255.71
O100271,P101900,3,106.97
O100271,P101669,1,192.54
O100271,P101900,2,111.31
O100272,P101095,1,202.2
O100272,P100246,2,34.86
O100272,P101809,2,111.59
O100273,P101169,2,275.05
O100273,P100765,2,183.72
O100274,P100353,1,483.46
O100274,P100531,3,256.22
O100274,P100971,2,71.25
O100274,P100191,1,50.51
O100274,P100778,3,95.38
O100275,P100825,1,302.48
O100275,P101368,1,408.56
O100275,P101046,2,164.66
O100275,P101209,2,282.42
O100275,P101228,3,114.18
O100276,P100308,2,453.11
O100276,P100803,3,449.01
O100276,P101372,2,130.62
O100276,P100102,2,159.99
O100276,P100726,1,471.12
O100277,P101852,1,413.24
O100277,P100867,1,283.99
O100277,P100090,2,268.79
O100278,P100362,2,285.18
O100278,P101830,3,263.15
O100279,P100682,3,26.12
O100279,P100219,2,471.55
O100280,P100372,2,89.37
O100280,P101812,3,87.76
O100280,P101437,3,376.48
O100280,P101248,2,199.24
O100281,P101475,2,391.28
O100281,P100879,1,179.89
O100282,P100639,1,370.74
O100282,P100023,1,279.29
O100282,P100209,2,314.55
O100282,P101911,2,36.1
O100282,P100497,3,8.16
O100283,P101119,1,417.07
O100283,P101981,3,197.9
O100283,P101594,1,294.11
O100283,P100819,3,54.08
O100283,P100466,3,306.66
O100284,P100281,2,44.13
O100284,P100309,3,80.86
O100284,P101179,1,59.76
O100284,P101276,1,410.61
O100285,P100439,1,104.56
O100286,P100732,3,7.73
O100286,P101228,3,118.93
O100287,P101463,2,200.85
O100287,P100436,2,89.58
O100288,P100699,1,399.3
O100289,P101880,2,256.39
O100290,P100193,2,465.7
O100290,P101699,3,409.13
O100290,P100339,2,130.27
O100290,P100570,2,68.98
O100290,P100536,1,392.8
O100291,P100651,3,387.31
O100291,P100395,3,292.16
O100291,P100057,3,10.67
O100291,P101730,1,71.49
O100292,P101836,3,377.54
O100292,P101056,1,143.14
O100292,P101217,3,8.99
O100292,P101119,3,418.99
O100293,P101958,3,343.93
O100293,P100820,2,448.91
O100293,P100297,1,303.39
O100293,P100906,2,88.71
O100293,P101736,1,189.72
O100294,P101274,1,118.71
O100294,P101283,2,400.67
O100294,P101118,2,401.2
O100295,P101264,1,8.58
O100295,P101191,2,264.71
O100295,P101125,2,138.34
O100295,P101037,2,66.38
O100295,P101410,1,263.48
O100296,P100534,2,12.18
O100296,P100100,1,385.83
O100296,P100276,3,363.47
O100296,P100369,1,44.47
O100296,P101599,2,162.92
O100297,P101427,2,347.44
O100297,P100091,2,394.04
O100298,P100160,2,301.05
O100298,P100126,1,48.84
O100298,P101101,3,176.86
O100298,P100424,2,156.17
O100299,P101998,3,306.97
O100299,P100204,3,185.64
O100299,P100671,2,479.96
O100299,P100776,2,203.27
O100300,P101216,3,90.24
O100301,P101652,1,310.92
O100301,P101989,3,229.22
O100301,P100096,2,152.04
O100302,P101397,2,368.15
O100302,P101516,3,78.99
O100302,P100883,2,245.21
O100302,P100669,2,267.33
O100303,P101679,2,85.18
O100304,P101003,2,105.2
O100304,P101827,1,380.99
O100304,P101602,2,337.04
O100305,P100393,3,210.61
O100305,P100059,2,183.01
O100306,P100528,2,406.06
O100306,P101604,1,249.69
O100306,P100377,2,457.64
O100307,P100110,1,74.68
O100307,P100684,3,260.78
O100307,P100468,1,273.88
O100308,P100328,1,79.31
O100308,P100311,2,219.71
O100308,P101560,2,139.32
O100308,P101805,2,200.42
O100309,P100636,2,246.74
O100309,P100647,3,180.39
O100309,P100056,1,389.58
O100309,P100575,3,24.18
O100310,P100762,3,259.97
O100311,P101092,3,328.57
O100311,P100122,1,180.47
O100311,P101099,1,357.31
O100312,P101057,2,91.6
O100312,P101012,3,242.91
O100312,P101791,1,14.63
O100312,P101219,2,275.66
O100312,P101608,1,487.28
O100313,P100913,1,217.77
O100313,P100836,2,192.7
O100313,P101307,2,101.18
O100314,P101883,1,224.37
O100315,P100514,1,10.04
O100315,P101811,2,284.98
O100315,P100880,2,77.58
O100315,P101494,2,315.91
O100315,P101090,1,434.78
O100316,P101994,3,172.51
O100316,P100542,3,156.78
O100316,P100261,1,401.21
O100317,P101031,2,278.05
O100317,P100741,2,298.43
O100318,P100521,2,215.38
O100318,P100584,3,366.03
O100318,P101515,1,371.77
O100318,P101731,1,291.74
O100319,P100315,3,154.87
O100319,P100584,3,371.74
O100320,P101397,3,366.19
O100320,P100173,2,283.73
O100320,P101584,2,364.05
O100320,P100497,3,8.07
O100321,P101002,1,34.13
O100321,P101776,3,77.96
O100322,P101678,1,208.21
O100322,P100724,3,168.26
O100323,P100124,1,276.32
O100323,P100792,1,140.02
O100323,P100522,2,21.42
O100323,P100398,1,29.98
O100323,P101623,1,460.22
O100324,P101030,1,125.65
O100324,P101830,1,257.03
O100324,P100470,2,449.18
O100324,P101756,3,226.13
O100324,P101516,1,78.18
O100325,P100902,2,406.12
O100325,P101053,1,434.93
O100325,P100707,1,63.24
O100325,P100520,3,335.84
O100326,P100536,2,369.81
O100326,P101088,1,422.44
