payment_id,order_id,amount,payment_method
PAY100245,O100245,2127.56,card
PAY100246,O100246,803.95,cash
PAY100247,O100247,300.07,card
PAY100248,O100248,1674.25,card
PAY100249,O100249,4014.83,crypto
PAY100250,O100250,613.08,card
PAY100251,O100251,1389.41,paypal
PAY100252,O100252,1191.81,cash
PAY100253,O100253,2349.22,cash
PAY100254,O100254,461.55,paypal
PAY100255,O100255,1159.12,card
PAY100256,O100256,926.17,crypto
PAY100257,O100257,142.76,crypto
PAY100258,O100258,1815.86,paypal
PAY100259,O100259,2599.36,card
PAY100260,O100260,2537.94,paypal
PAY100261,O100261,2165.64,crypto
PAY100262,O100262,371.76,card
PAY100263,O100263,933.9,paypal
PAY100264,O100264,1689.74,paypal
PAY100265,O100265,498.32,card
PAY100266,O100266,1708.66,crypto
PAY100267,O100267,412.18,card
PAY100268,O100268,3357.59,crypto
PAY100269,O100269,946.62,cash
PAY100270,O100270,1891.17,crypto
PAY100271,O100271,736.07,crypto
PAY100272,O100272,495.1,cash
PAY100273,O100273,917.54,paypal
PAY100274,O100274,1731.27,paypal
PAY100275,O100275,1947.74,crypto
PAY100276,O100276,3305.59,cash
PAY100277,O100277,1234.81,cash
PAY100278,O100278,1359.81,card
PAY100279,O100279,1021.46,crypto
PAY100280,O100280,1969.94,cash
PAY100281,O100281,962.45,paypal
PAY100282,O100282,1375.81,cash
PAY100283,O100283,2387.1,cash
PAY100284,O100284,801.21,cash
PAY100285,O100285,104.56,cash
PAY100286,O100286,379.98,paypal
PAY100287,O100287,580.86,cash
PAY100288,O100288,399.3,crypto
PAY100289,O100289,512.78,cash
PAY100290,O100290,2950.09,paypal
PAY100291,O100291,2141.91,crypto
PAY100292,O100292,2559.7,cash
PAY100293,O100293,2600.14,paypal
PAY100294,O100294,1722.45,crypto
PAY100295,O100295,1210.92,cash
PAY100296,O100296,1870.91,cash
PAY100297,O100297,1482.96,cash
PAY100298,O100298,1493.86,crypto
PAY100299,O100299,2844.29,card
PAY100300,O100300,270.72,cash
PAY100301,O100301,1302.66,paypal
PAY100302,O100302,1998.35,card
PAY100303,O100303,170.36,cash
PAY100304,O100304,1265.47,paypal
PAY100305,O100305,997.85,cash
PAY100306,O100306,,paypal
PAY100307,O100307,1130.9,cash
PAY100308,O100308,1198.21,paypal
PAY100309,O100309,1496.77,paypal
PAY100310,O100310,779.91,card
PAY100311,O100311,1523.49,card
PAY100312,O100312,1965.16,crypto
PAY100313,O100313,805.53,paypal
PAY100314,O100314,224.37,paypal
PAY100315,O100315,1801.76,card
PAY100316,O100316,1389.08,crypto
PAY100317,O100317,1152.96,paypal
PAY100318,O100318,2192.36,cash
PAY100319,O100319,1579.83,cash
PAY100320,O100320,2418.34,crypto
PAY100321,O100321,268.01,paypal
PAY100322,O100322,712.99,paypal
PAY100323,O100323,949.38,card
PAY100324,O100324,2037.61,card
PAY100325,O100325,2317.93,paypal
PAY100326,O100326,2109.18,cash
PAY100327,O100327,3053.07,card
PAY100328,O100328,1520.93,cash
PAY100329,O100329,4727.74,cash
PAY100330,O100330,1236.94,cash
PAY100331,O100331,1910.51,cash
PAY100332,O100332,1404.57,crypto
PAY100333,O100333,389.53,crypto
PAY100334,O100334,3018.66,card
PAY100335,O100335,102.53,paypal
PAY100336,O100336,,crypto
PAY100337,O100337,2610.91,paypal
PAY100338,O100338,1178.86,card
PAY100339,O100339,2767.33,cash
PAY100340,O100340,1024.0,paypal
PAY100341,O100341,288.37,crypto
PAY100342,O100342,355.66,paypal
PAY100343,O100343,780.44,crypto
PAY100344,O100344,2594.23,paypal
PAY100345,O100345,2552.22,crypto
PAY100346,O100346,498.42,cash
PAY100347,O100347,4404.04,paypal
PAY100348,O100348,1768.7,card
PAY100349,O100349,2677.66,paypal
PAY100350,O100350,927.88,crypto
PAY100351,O100351,,paypal
PAY100352,O100352,414.06,card
PAY100353,O100353,1669.16,cash
PAY100354,O100354,640.65,paypal
PAY100355,O100355,711.37,cash
PAY100356,O100356,713.24,cash
PAY100357,O100357,1061.28,cash
PAY100358,O100358,2092.18,crypto
PAY100359,O100359,1420.55,paypal
PAY100360,O100360,1494.32,paypal
PAY100361,O100361,34.74,card
PAY100362,O100362,1181.63,cash
PAY100363,O100363,1445.36,crypto
PAY100364,O100364,1630.09,crypto
PAY100365,O100365,2997.97,card
PAY100366,O100366,,paypal
PAY100367,O100367,29.54,paypal
PAY100368,O100368,21.78,crypto
PAY100369,O100369,144.71,crypto
PAY100370,O100370,101.76,card
PAY100371,O100371,805.61,crypto
PAY100372,O100372,1351.79,crypto
PAY100373,O100373,1308.72,card
PAY100374,O100374,1674.15,cash
PAY100375,O100375,1262.84,crypto
PAY100376,O100376,963.74,paypal
PAY100377,O100377,3083.6,cash
PAY100378,O100378,1198.92,crypto
PAY100379,O100379,535.44,cash
PAY100380,O100380,1124.45,crypto
PAY100381,O100381,874.8,paypal
PAY100382,O100382,3740.23,crypto
PAY100383,O100383,1975.56,paypal
PAY100384,O100384,770.8,crypto
PAY100385,O100385,468.32,crypto
PAY100386,O100386,868.14,cash
PAY100387,O100387,2697.57,card
PAY100388,O100388,293.37,paypal
PAY100389,O100389,3050.92,cash
PAY100390,O100390,1654.91,card
PAY100391,O100391,881.15,cash
PAY100392,O100392,1881.21,paypal
PAY100393,O100393,2068.76,card
PAY100394,O100394,2145.71,card
PAY100395,O100395,1549.5,card
PAY100396,O100396,146.98,paypal
PAY100397,O100397,1243.16,paypal
PAY100398,O100398,2154.95,cash
PAY100399,O100399,256.01,crypto
PAY100400,O100400,1392.27,crypto
PAY100401,O100401,1570.36,crypto
PAY100402,O100402,1776.21,crypto
PAY100403,O100403,1371.98,cash
PAY100404,O100404,810.45,paypal
PAY100405,O100405,75.66,cash
PAY100406,O100406,413.62,card
PAY100407,O100407,2138.47,paypal
PAY100408,O100408,1856.69,paypal
PAY100409,O100409,333.5,crypto
PAY100410,O100410,2924.9,cash
PAY100411,O100411,2625.56,crypto
PAY100412,O100412,2452.06,paypal
PAY100413,O100413,1570.49,crypto
PAY100414,O100414,930.54,card
PAY100415,O100415,991.51,paypal
PAY100416,O100416,,card
PAY100417,O100417,1881.71,paypal
PAY100418,O100418,47.67,crypto
PAY100419,O100419,2690.4,paypal
PAY100420,O100420,3037.07,paypal
PAY100421,O100421,1505.22,cash
PAY100422,O100422,112.94,cash
PAY100423,O100423,1145.47,card
PAY100424,O100424,422.3,cash
PAY100425,O100425,652.32,paypal
PAY100426,O100426,789.44,cash
PAY100427,O100427,1335.65,crypto
PAY100428,O100428,1720.16,cash
PAY100429,O100429,817.48,card
PAY100430,O100430,700.87,paypal
PAY100431,O100431,428.79,crypto
PAY100432,O100432,1063.98,crypto
PAY100433,O100433,2494.9,card
PAY100434,O100434,503.43,cash
PAY100435,O100435,95.98,paypal
PAY100436,O100436,1920.69,card
PAY100437,O100437,1001.49,crypto
PAY100438,O100438,1280.81,crypto
PAY100439,O100439,1924.96,crypto
PAY100440,O100440,539.48,card
PAY100441,O100441,1418.83,crypto
PAY100442,O100442,1490.81,paypal
PAY100443,O100443,125.28,crypto
PAY100444,O100444,2246.53,card
PAY100445,O100445,877.64,card
PAY100446,O100446,2042.24,crypto
PAY100447,O100447,1378.05,card
PAY100448,O100448,1444.75,cash
PAY100449,O100449,,card
PAY100450,O100450,979.36,cash
PAY100451,O100451,756.52,card
PAY100452,O100452,2599.56,card
PAY100453,O100453,2410.5,card
PAY100454,O100454,961.65,crypto
PAY100455,O100455,339.1,card
PAY100456,O100456,821.97,paypal
PAY100457,O100457,940.06,crypto
PAY100458,O100458,2333.05,cash
PAY100459,O100459,187.89,paypal
PAY100460,O100460,1241.4,paypal
PAY100461,O100461,1311.27,paypal
PAY100462,O100462,1018.86,paypal
PAY100463,O100463,,card
PAY100464,O100464,1087.23,card
PAY100465,O100465,2513.74,paypal
PAY100466,O100466,1522.24,crypto
PAY100467,O100467,579.95,paypal
PAY100468,O100468,,cash
PAY100469,O100469,1102.41,paypal
PAY100470,O100470,,card
PAY100471,O100471,590.38,cash
PAY100472,O100472,299.02,crypto
PAY100473,O100473,1750.13,paypal
PAY100474,O100474,1181.11,cash
PAY100475,O100475,1222.04,paypal
PAY100476,O100476,,crypto
PAY100477,O100477,825.9,crypto
PAY100478,O100478,345.75,cash
PAY100479,O100479,93.04,crypto
PAY100480,O100480,737.54,cash
PAY100481,O100481,1452.56,crypto
PAY100482,O100482,453.04,card
PAY100483,O100483,1273.28,cash
PAY100484,O100484,3044.39,paypal
PAY100485,O100485,1422.5,cash
PAY100486,O100486,1092.19,crypto
PAY100487,O100487,58.53,crypto
PAY100488,O100488,1230.27,crypto
PAY100489,O100489,1009.3,paypal
PAY100490,O100490,2480.67,paypal
PAY100491,O100491,1641.91,crypto
PAY100492,O100492,1238.39,card
PAY100493,O100493,430.88,cash
PAY100494,O100494,3287.69,crypto
PAY100495,O100495,421.83,card
PAY100496,O100496,1731.71,paypal
PAY100497,O100497,491.82,crypto
PAY100498,O100498,1280.28,cash
PAY100499,O100499,91.69,cash
PAY100500,O100500,62.69,paypal
PAY100501,O100501,909.76,crypto
PAY100502,O100502,1677.58,crypto
PAY100503,O100503,2934.08,crypto
PAY100504,O100504,1189.07,card
PAY100505,O100505,439.5,card
PAY100506,O100506,2693.69,crypto
PAY100507,O100507,1513.29,cash
PAY100508,O100508,519.81,card
PAY100509,O100509,2457.9,cash
PAY100510,O100510,681.87,card
PAY100511,O100511,1372.96,paypal
PAY100512,O100512,,paypal
PAY100513,O100513,2304.75,paypal
PAY100514,O100514,2331.24,cash
PAY100515,O100515,702.9,cash
PAY100516,O100516,,crypto
PAY100517,O100517,1161.67,crypto
PAY100518,O100518,320.44,paypal
PAY100519,O100519,13.32,paypal
PAY100520,O100520,420.97,card
PAY100521,O100521,1641.61,paypal
PAY100522,O100522,3188.14,paypal
PAY100523,O100523,1757.12,paypal
PAY100524,O100524,2878.79,cash
PAY100525,O100525,2077.52,cash
PAY100526,O100526,2934.16,paypal
PAY100527,O100527,1384.89,card
PAY100528,O100528,9.27,card
PAY100529,O100529,1950.84,crypto
PAY100530,O100530,1403.92,paypal
PAY100531,O100531,456.99,cash
PAY100532,O100532,213.61,paypal
PAY100533,O100533,2905.78,card
PAY100534,O100534,762.76,cash
PAY100535,O100535,600.0,cash
PAY100536,O100536,34.89,cash
PAY100537,O100537,1550.86,crypto
PAY100538,O100538,940.49,paypal
PAY100539,O100539,2309.56,paypal
PAY100540,O100540,2303.55,paypal
PAY100541,O100541,680.76,card
PAY100542,O100542,418.44,cash
PAY100543,O100543,1484.17,cash
PAY100544,O100544,1180.99,card
PAY100545,O100545,431.03,crypto
PAY100546,O100546,131.66,card
PAY100547,O100547,1059.79,cash
PAY100548,O100548,459.53,crypto
PAY100549,O100549,787.64,crypto
PAY100550,O100550,812.04,cash
PAY100551,O100551,1886.65,card
PAY100552,O100552,1115.07,paypal
PAY100553,O100553,633.31,paypal
PAY100554,O100554,1629.13,paypal
PAY100555,O100555,1635.98,card
PAY100556,O100556,1711.48,cash
PAY100557,O100557,2444.95,card
PAY100558,O100558,1036.67,paypal
PAY100559,O100559,3176.98,paypal
PAY100560,O100560,1068.22,paypal
PAY100561,O100561,65.04,card
PAY100562,O100562,232.31,card
PAY100563,O100563,2678.19,paypal
PAY100564,O100564,369.0,crypto
PAY100565,O100565,2176.21,paypal
PAY100566,O100566,1561.78,cash
PAY100567,O100567,1323.01,card
PAY100568,O100568,121.78,crypto
PAY100569,O100569,1317.65,crypto
PAY100570,O100570,1007.28,cash
PAY100571,O100571,851.19,paypal
PAY100572,O100572,3256.25,paypal
PAY100573,O100573,422.28,paypal
PAY100574,O100574,2523.91,cash
PAY100575,O100575,2473.76,card
PAY100576,O100576,,card
PAY100577,O100577,683.4,cash
PAY100578,O100578,630.04,card
PAY100579,O100579,405.86,cash
PAY100580,O100580,1082.38,cash
PAY100581,O100581,2711.66,crypto
PAY100582,O100582,1313.71,crypto
PAY100583,O100583,1674.23,card
PAY100584,O100584,,crypto
PAY100585,O100585,2385.29,card
PAY100586,O100586,629.0,cash
PAY100587,O100587,1597.82,card
PAY100588,O100588,2424.8,crypto
PAY100589,O100589,597.28,card
PAY100590,O100590,819.02,crypto
PAY100591,O100591,1885.32,cash
PAY100592,O100592,378.49,paypal
PAY100593,O100593,2299.71,cash
PAY100594,O100594,1819.79,crypto
PAY100595,O100595,828.83,card
PAY100596,O100596,986.47,crypto
PAY100597,O100597,531.92,crypto
PAY100598,O100598,726.56,paypal
PAY100599,O100599,3383.97,card
PAY100600,O100600,2265.81,crypto
PAY100601,O100601,149.19,cash
PAY100602,O100602,1809.4,cash
PAY100603,O100603,951.94,crypto
PAY100604,O100604,3482.04,crypto
PAY100605,O100605,2535.42,crypto
PAY100606,O100606,675.29,crypto
PAY100607,O100607,1573.04,cash
PAY100608,O100608,2731.08,paypal
PAY100609,O100609,2226.59,crypto
PAY100610,O100610,1334.22,card
PAY100611,O100611,615.9,paypal
PAY100612,O100612,786.0,cash
PAY100613,O100613,1231.17,crypto
PAY100614,O100614,3101.36,crypto
PAY100615,O100615,1962.44,crypto
PAY100616,O100616,1637.26,crypto
PAY100617,O100617,2644.33,card
PAY100618,O100618,1470.06,crypto
PAY100619,O100619,1950.07,cash
PAY100620,O100620,677.76,card
PAY100621,O100621,487.32,paypal
PAY100622,O100622,2399.18,paypal
PAY100623,O100623,2097.72,paypal
PAY100624,O100624,1552.85,crypto
PAY100625,O100625,2815.54,paypal
PAY100626,O100626,344.96,card
PAY100627,O100627,838.36,card
PAY100628,O100628,1389.4,paypal
PAY100629,O100629,1427.95,paypal
PAY100630,O100630,1092.72,card
PAY100631,O100631,1507.26,cash
PAY100632,O100632,2206.88,paypal
PAY100633,O100633,1809.01,card
PAY100634,O100634,1601.68,paypal
PAY100635,O100635,437.84,card
PAY100636,O100636,1521.13,crypto
PAY100637,O100637,1220.09,paypal
PAY100638,O100638,2219.53,paypal
PAY100639,O100639,2018.4,cash
PAY100640,O100640,608.52,cash
PAY100641,O100641,1244.69,cash
PAY100642,O100642,1719.23,cash
PAY100643,O100643,1946.43,paypal
PAY100644,O100644,1264.76,paypal
PAY100645,O100645,1064.37,cash
PAY100646,O100646,444.6,cash
PAY100647,O100647,2762.51,paypal
PAY100648,O100648,1814.17,crypto
PAY100649,O100649,3327.93,card
PAY100650,O100650,957.39,cash
PAY100651,O100651,2418.22,card
PAY100652,O100652,3126.69,crypto
PAY100653,O100653,1317.15,crypto
PAY100654,O100654,3203.61,crypto
PAY100655,O100655,4524.13,paypal
PAY100656,O100656,2153.57,card
PAY100657,O100657,3203.01,crypto
PAY100658,O100658,85.04,cash
PAY100659,O100659,3702.36,crypto
PAY100660,O100660,321.88,cash
PAY100661,O100661,1427.94,cash
PAY100662,O100662,3467.29,crypto
PAY100663,O100663,1627.48,cash
PAY100664,O100664,1572.01,cash
PAY100665,O100665,2138.37,paypal
PAY100666,O100666,2727.57,card
PAY100667,O100667,4452.02,paypal
PAY100668,O100668,2241.83,paypal
PAY100669,O100669,1962.27,paypal
PAY100670,O100670,2347.33,card
PAY100671,O100671,768.9,card
PAY100672,O100672,2516.93,crypto
PAY100673,O100673,1235.5,paypal
PAY100674,O100674,1382.76,card
PAY100675,O100675,356.43,crypto
PAY100676,O100676,2290.42,paypal
PAY100677,O100677,1949.11,paypal
PAY100678,O100678,1801.04,cash
PAY100679,O100679,1004.77,card
PAY100680,O100680,2936.29,cash
PAY100681,O100681,1566.45,paypal
PAY100682,O100682,2774.46,paypal
PAY100683,O100683,2274.32,paypal
PAY100684,O100684,1474.45,crypto
PAY100685,O100685,130.68,cash
PAY100686,O100686,2538.26,cash
PAY100687,O100687,,paypal
PAY100688,O100688,1607.31,cash
PAY100689,O100689,1699.72,paypal
PAY100690,O100690,371.5,paypal
PAY100691,O100691,2254.54,cash
PAY100692,O100692,2296.44,card
PAY100693,O100693,1092.96,paypal
PAY100694,O100694,921.62,paypal
PAY100695,O100695,1991.86,cash
PAY100696,O100696,1822.33,cash
PAY100697,O100697,1037.76,cash
PAY100698,O100698,39.62,paypal
PAY100699,O100699,,card
PAY100700,O100700,2108.16,card
PAY100701,O100701,1779.46,card
PAY100702,O100702,595.2,paypal
PAY100703,O100703,,cash
PAY100704,O100704,2596.52,card
PAY100705,O100705,2095.85,card
PAY100706,O100706,472.63,card
PAY100707,O100707,234.72,paypal
PAY100708,O100708,1895.23,cash
PAY100709,O100709,1268.25,crypto
PAY100710,O100710,1358.08,cash
PAY100711,O100711,2517.91,cash
PAY100712,O100712,2030.51,cash
PAY100713,O100713,1311.28,card
PAY100714,O100714,2078.95,cash
PAY100715,O100715,3536.84,card
PAY100716,O100716,1740.06,paypal
PAY100717,O100717,2277.04,crypto
PAY100718,O100718,1181.33,paypal
PAY100719,O100719,1708.22,paypal
PAY100720,O100720,700.24,crypto
PAY100721,O100721,1889.79,cash
PAY100722,O100722,99.3,cash
PAY100723,O100723,101.1,card
PAY100724,O100724,2798.63,cash
PAY100725,O100725,1942.12,crypto
PAY100726,O100726,4117.36,paypal
PAY100727,O100727,,cash
PAY100728,O100728,1112.78,card
PAY100729,O100729,747.97,paypal
PAY100730,O100730,1911.27,paypal
PAY100731,O100731,422.82,card
PAY100732,O100732,517.07,paypal
PAY100733,O100733,323.94,card
PAY100734,O100734,1537.36,card
PAY100735,O100735,367.97,crypto
PAY100736,O100736,464.54,crypto
PAY100737,O100737,544.06,cash
PAY100738,O100738,945.16,crypto
PAY100739,O100739,823.72,paypal
PAY100740,O100740,1243.7,cash
PAY100741,O100741,1955.82,cash
PAY100742,O100742,2538.06,card
PAY100743,O100743,,crypto
PAY100744,O100744,539.18,card
PAY100745,O100745,528.68,cash
PAY100746,O100746,916.25,card
PAY100747,O100747,,paypal
PAY100748,O100748,1104.66,paypal
PAY100749,O100749,1786.47,cash
PAY100750,O100750,1341.87,paypal
PAY100751,O100751,1177.11,crypto
PAY100752,O100752,1879.47,cash
PAY100753,O100753,3714.22,crypto
PAY100754,O100754,1297.92,paypal
PAY100755,O100755,3099.02,card
PAY100756,O100756,362.33,crypto
PAY100757,O100757,228.38,crypto
PAY100758,O100758,2014.87,paypal
PAY100759,O100759,600.97,crypto
PAY100760,O100760,1347.76,crypto
PAY100761,O100761,1673.08,card
PAY100762,O100762,984.85,cash
PAY100763,O100763,122.52,paypal
PAY100764,O100764,423.39,card
PAY100765,O100765,1279.19,card
PAY100766,O100766,1349.52,cash
PAY100767,O100767,1995.91,cash
PAY100768,O100768,,paypal
PAY100769,O100769,1600.73,paypal
PAY100770,O100770,2628.65,paypal
PAY100771,O100771,1775.4,card
PAY100772,O100772,103.53,crypto
PAY100773,O100773,265.34,cash
PAY100774,O100774,1911.88,paypal
PAY100775,O100775,1334.97,paypal
PAY100776,O100776,,card
PAY100777,O100777,1897.57,paypal
PAY100778,O100778,72.6,card
PAY100779,O100779,1616.39,crypto
PAY100780,O100780,1776.27,card
PAY100781,O100781,1295.49,cash
PAY100782,O100782,2866.76,card
PAY100783,O100783,1694.62,crypto
PAY100784,O100784,1670.54,crypto
PAY100785,O100785,1334.77,cash
