shipment_id,order_id,shipped_date,delivery_status
S100104,O100104,2025-07-29 04:37:58,delayed
S100105,O100105,2026-06-05 19:32:24,in_transit
S100106,O100106,2024-09-16 06:10:02,delayed
S100107,O100107,2024-09-11 00:50:33,in_transit
S100108,O100108,2026-04-11 03:19:31,in_transit
S100109,O100109,2025-01-07 21:45:10,delayed
S100110,O100110,2025-04-10 10:00:10,in_transit
S100111,O100111,2025-05-26 08:51:10,in_transit
S100112,O100112,2026-02-03 10:55:27,in_transit
S100113,O100113,2024-08-08 20:56:41,delivered
S100114,O100114,2026-05-04 19:03:55,delivered
S100115,O100115,2024-09-17 01:15:03,delivered
S100116,O100116,2026-01-15 09:50:48,delivered
S100117,O100117,2025-01-07 12:21:13,delayed
S100118,O100118,2025-09-08 18:01:03,delayed
S100119,O100119,2025-04-26 00:00:18,delayed
S100120,O100120,2024-11-20 07:01:28,delivered
S100121,O100121,2026-05-25 08:35:58,delayed
S100122,O100122,2025-06-22 07:57:32,delivered
S100123,O100123,2024-11-19 18:45:59,delivered
S100124,O100124,2026-04-18 23:38:32,in_transit
S100125,O100125,2025-04-01 02:57:51,in_transit
S100126,O100126,2026-02-04 13:12:25,delivered
S100127,O100127,2025-02-23 04:42:56,in_transit
S100128,O100128,2026-03-30 09:03:03,in_transit
S100129,O100129,2024-11-26 02:49:18,in_transit
S100130,O100130,2025-12-04 07:22:17,in_transit
S100131,O100131,2025-09-06 23:27:40,delayed
S100132,O100132,2025-11-22 22:39:20,in_transit
S100133,O100133,2025-04-17 11:57:55,delivered
S100134,O100134,2026-02-27 23:10:16,in_transit
S100135,O100135,2025-03-13 15:44:41,in_transit
S100136,O100136,2024-06-22 07:33:56,delayed
S100137,O100137,2024-11-10 02:28:12,delayed
S100138,O100138,2026-02-05 03:28:17,delayed
S100139,O100139,2024-09-29 03:41:45,in_transit
S100140,O100140,2024-10-27 11:22:38,delivered
S100141,O100141,2025-03-21 23:55:32,delayed
S100142,O100142,2025-12-15 16:14:06,in_transit
S100143,O100143,2026-02-28 22:01:50,in_transit
S100144,O100144,2026-01-31 05:37:18,in_transit
S100145,O100145,2026-02-19 04:07:08,delayed
S100146,O100146,2024-07-02 03:45:43,in_transit
S100147,O100147,2024-09-30 20:55:03,delayed
S100148,O100148,2025-04-12 21:05:35,in_transit
S100149,O100149,2024-10-01 10:40:43,delivered
S100150,O100150,2025-05-08 07:21:11,delivered
S100151,O100151,2026-06-03 22:38:55,in_transit
S100152,O100152,2025-12-06 14:24:55,delayed
S100153,O100153,2025-07-17 17:51:49,in_transit
S100154,O100154,2025-03-14 09:01:40,delivered
S100155,O100155,2025-04-27 10:48:45,in_transit
S100156,O100156,2025-05-02 15:47:09,delayed
S100157,O100157,2025-07-08 16:05:11,delayed
S100158,O100158,2024-10-08 19:36:12,delayed
S100159,O100159,2025-12-10 15:30:22,delayed
S100160,O100160,2025-07-03 14:39:13,delivered
S100161,O100161,2024-08-28 18:17:23,delayed
S100162,O100162,2024-10-09 01:31:47,delayed
S100163,O100163,2025-10-11 21:12:12,delivered
S100164,O100164,2025-05-21 11:20:32,delayed
S100165,O100165,2025-07-08 09:31:44,delivered
S100166,O100166,2025-10-10 17:55:05,delayed
S100167,O100167,2026-05-11 22:13:36,delayed
S100168,O100168,2024-06-07 06:46:52,delayed
S100169,O100169,2025-11-20 11:41:45,delayed
S100170,O100170,2025-11-07 13:49:32,in_transit
S100171,O100171,2025-02-04 13:16:45,in_transit
S100172,O100172,2025-12-01 08:13:05,delayed
S100173,O100173,2026-04-21 09:50:29,delayed
S100174,O100174,2025-10-08 10:16:19,delayed
S100175,O100175,2024-08-02 14:23:41,in_transit
S100176,O100176,2025-02-18 10:57:31,delayed
S100177,O100177,2024-08-09 00:05:51,delivered
S100178,O100178,2025-11-09 19:47:44,in_transit
S100179,O100179,2025-03-22 07:31:59,in_transit
S100180,O100180,2024-06-12 15:47:50,in_transit
S100181,O100181,2026-02-22 18:07:01,delayed
S100182,O100182,2024-11-04 21:34:18,delivered
S100183,O100183,2026-05-24 04:59:10,in_transit
S100184,O100184,2025-08-28 23:30:51,delivered
S100185,O100185,2026-02-20 00:26:06,delivered
S100186,O100186,2024-12-27 19:02:00,delivered
S100187,O100187,2026-04-11 23:28:02,delayed
S100188,O100188,2025-02-15 05:25:09,delayed
S100189,O100189,2026-02-17 23:57:15,delayed
S100190,O100190,2025-11-01 02:44:58,in_transit
S100191,O100191,2026-05-27 01:54:42,in_transit
S100192,O100192,2024-07-15 02:55:57,delivered
S100193,O100193,2025-08-27 07:29:55,in_transit
S100194,O100194,2026-04-25 14:32:00,delayed
S100195,O100195,2024-09-28 14:15:50,delayed
S100196,O100196,2024-10-13 14:49:56,delayed
S100197,O100197,2025-07-16 09:43:01,delayed
S100198,O100198,2025-10-26 03:44:20,delivered
S100199,O100199,2026-04-30 06:20:32,in_transit
S100200,O100200,2025-10-16 01:10:01,delayed
S100201,O100201,2024-06-20 17:17:48,delivered
S100202,O100202,2025-08-02 22:59:37,in_transit
S100203,O100203,2025-06-24 09:40:32,delivered
S100204,O100204,2026-05-07 06:15:48,delayed
S100205,O100205,2024-06-22 15:00:25,delayed
S100206,O100206,2025-07-12 18:38:06,delayed
S100207,O100207,2025-06-19 19:55:40,in_transit
S100208,O100208,2025-02-21 16:16:10,delayed
S100209,O100209,2025-09-11 06:24:42,in_transit
S100210,O100210,2024-12-06 15:04:40,delivered
S100211,O100211,2025-11-21 10:34:38,in_transit
S100212,O100212,2024-10-06 01:39:12,delivered
S100213,O100213,2025-12-25 08:57:52,in_transit
S100214,O100214,2024-07-24 13:26:32,delayed
S100215,O100215,2025-09-13 16:23:21,delayed
S100216,O100216,2024-11-15 04:22:26,delivered
S100217,O100217,2025-09-07 21:29:37,in_transit
S100218,O100218,2025-08-04 22:28:04,in_transit
S100219,O100219,2024-07-12 09:59:02,delivered
S100220,O100220,2024-09-07 21:36:02,in_transit
S100221,O100221,2026-05-16 22:35:31,in_transit
S100222,O100222,2025-07-12 11:55:38,delivered
S100223,O100223,2025-02-10 04:31:04,delivered
S100224,O100224,2026-05-10 05:33:31,delivered
S100225,O100225,2026-03-26 22:05:27,in_transit
S100226,O100226,2025-04-24 11:40:56,delivered
S100227,O100227,2025-11-20 20:31:23,delivered
S100228,O100228,2024-09-05 22:11:39,delivered
S100229,O100229,2024-09-08 16:51:16,delivered
S100230,O100230,2025-05-11 07:24:01,delayed
S100231,O100231,2026-01-22 06:07:01,delayed
S100232,O100232,2025-05-24 17:45:05,delayed
S100233,O100233,2024-10-16 20:09:33,delivered
S100234,O100234,2026-01-04 15:43:33,in_transit
S100235,O100235,2025-12-14 07:12:16,delayed
S100236,O100236,2026-05-21 10:30:52,delivered
S100237,O100237,2026-05-27 02:44:03,delayed
S100238,O100238,2025-03-27 23:05:00,delayed
S100239,O100239,2025-01-05 00:35:58,delivered
S100240,O100240,2025-10-09 09:21:58,delivered
S100241,O100241,2024-10-18 19:52:46,delayed
S100242,O100242,2025-01-20 22:40:57,delivered
S100243,O100243,2025-06-22 03:50:59,delayed
S100244,O100244,2026-04-07 03:50:47,delayed
S100245,O100245,2026-03-12 23:30:38,delayed
S100246,O100246,2026-04-16 19:11:17,delayed
S100247,O100247,2025-02-07 04:01:12,in_transit
S100248,O100248,2025-08-21 06:26:50,in_transit
S100249,O100249,2025-06-29 11:58:08,delivered
S100250,O100250,2025-10-26 14:08:27,in_transit
S100251,O100251,2026-03-11 09:30:30,in_transit
S100252,O100252,2024-08-03 09:21:36,delivered
S100253,O100253,2025-03-10 13:04:03,delayed
S100254,O100254,2026-04-03 18:10:00,in_transit
S100255,O100255,2026-01-07 08:16:36,in_transit
S100256,O100256,2025-08-27 20:20:10,in_transit
S100257,O100257,2025-05-10 01:11:24,in_transit
S100258,O100258,2026-02-20 01:27:49,delayed
S100259,O100259,2024-10-11 23:00:30,delivered
S100260,O100260,2026-04-25 00:45:06,in_transit
S100261,O100261,2024-10-11 05:07:43,in_transit
S100262,O100262,2025-08-29 22:41:18,in_transit
S100263,O100263,2025-10-04 12:35:42,in_transit
S100264,O100264,2024-07-28 11:03:22,delivered
S100265,O100265,2025-06-17 09:44:09,delayed
S100266,O100266,2025-01-18 17:51:17,delivered
S100267,O100267,2025-05-18 16:52:43,in_transit
S100268,O100268,2026-02-22 21:37:35,in_transit
S100269,O100269,2024-06-25 15:39:50,delivered
S100270,O100270,2025-09-26 13:20:33,delayed
S100271,O100271,2026-02-25 18:09:47,delayed
S100272,O100272,2025-02-10 01:38:59,delayed
S100273,O100273,2025-02-04 06:20:49,delayed
S100274,O100274,2026-01-01 21:31:41,delivered
S100275,O100275,2025-08-11 19:52:32,delivered
S100276,O100276,2024-06-25 20:50:05,delayed
S100277,O100277,2025-07-20 01:51:18,delivered
S100278,O100278,2024-10-16 08:17:41,delivered
S100279,O100279,2025-07-12 15:40:30,in_transit
S100280,O100280,2025-04-18 23:32:59,delivered
S100281,O100281,2025-09-08 17:01:26,delivered
S100282,O100282,2025-09-09 01:58:25,delayed
S100283,O100283,2026-01-07 12:46:04,delivered
S100284,O100284,2024-07-25 06:00:42,delayed
S100285,O100285,2025-04-03 22:23:07,in_transit
S100286,O100286,2025-10-19 05:02:49,in_transit
S100287,O100287,2025-06-16 14:04:35,delivered
S100288,O100288,2025-01-30 04:14:52,delivered
S100289,O100289,2025-06-07 23:59:56,delayed
S100290,O100290,2024-08-11 19:48:06,in_transit
S100291,O100291,2026-02-23 20:36:04,delayed
S100292,O100292,2025-09-06 21:28:40,delivered
S100293,O100293,2024-11-15 17:11:49,in_transit
S100294,O100294,2025-06-06 08:08:05,delivered
S100295,O100295,2024-12-24 07:17:55,in_transit
S100296,O100296,2025-05-03 06:03:21,delayed
S100297,O100297,2026-05-24 15:19:39,delivered
S100298,O100298,2025-07-19 10:52:37,delivered
S100299,O100299,2025-08-11 18:38:38,in_transit
S100300,O100300,2025-11-28 07:57:57,delayed
S100301,O100301,2025-08-27 22:09:38,in_transit
S100302,O100302,2026-04-28 23:13:09,in_transit
S100303,O100303,2025-05-22 14:41:00,in_transit
S100304,O100304,2025-07-07 20:18:19,delivered
S100305,O100305,2024-09-04 17:36:17,delayed
S100306,O100306,2024-07-21 04:10:16,delayed
S100307,O100307,2025-04-06 21:06:14,delayed
S100308,O100308,2026-04-08 06:56:30,in_transit
S100309,O100309,2026-02-11 11:13:21,delayed
S100310,O100310,2025-08-27 03:04:05,delayed
S100311,O100311,2026-02-15 06:57:44,delivered
S100312,O100312,2025-06-29 06:06:38,delivered
S100313,O100313,2025-06-12 23:08:45,delivered
S100314,O100314,2025-10-04 18:19:27,in_transit
S100315,O100315,2025-06-05 08:06:22,delivered
S100316,O100316,2025-02-25 02:26:00,delayed
S100317,O100317,2026-01-22 07:52:54,delivered
S100318,O100318,2025-11-13 07:57:29,in_transit
S100319,O100319,2024-10-08 01:15:03,delivered
S100320,O100320,2025-01-04 11:28:01,delayed
S100321,O100321,2025-12-06 18:19:38,delivered
S100322,O100322,2024-08-01 17:19:35,delivered
S100323,O100323,2024-11-17 18:04:04,delivered
S100324,O100324,2025-08-23 19:49:30,in_transit
S100325,O100325,2024-08-28 17:03:26,in_transit
S100326,O100326,2026-06-05 12:33:55,in_transit
S100327,O100327,2024-12-30 23:03:30,in_transit
S100328,O100328,2025-02-03 06:30:39,in_transit
S100329,O100329,2024-10-11 02:14:17,delivered
S100330,O100330,2024-09-29 14:14:12,delivered
S100331,O100331,2025-11-20 13:43:41,in_transit
S100332,O100332,2025-07-17 22:38:25,in_transit
S100333,O100333,2024-09-14 09:53:50,delivered
S100334,O100334,2025-05-05 07:37:41,delayed
S100335,O100335,2024-11-19 16:37:18,delivered
S100336,O100336,2025-07-04 07:48:38,in_transit
S100337,O100337,2024-12-27 18:32:29,delivered
S100338,O100338,2024-12-29 11:32:26,in_transit
S100339,O100339,2024-09-02 06:55:20,delivered
S100340,O100340,2024-07-25 13:41:52,delivered
S100341,O100341,2025-07-10 22:25:01,delivered
S100342,O100342,2024-07-31 20:04:29,delayed
S100343,O100343,2025-09-09 11:00:30,delivered
S100344,O100344,2026-02-11 21:19:04,delivered
S100345,O100345,2024-06-24 08:11:20,delayed
S100346,O100346,2026-01-01 05:54:16,delivered
S100347,O100347,2024-11-27 23:26:53,delayed
S100348,O100348,2026-02-24 01:40:48,delayed
S100349,O100349,2024-08-11 00:35:47,delayed
S100350,O100350,2025-01-22 22:19:51,delivered
S100351,O100351,2025-06-28 11:24:27,in_transit
S100352,O100352,2025-04-26 07:38:42,delivered
S100353,O100353,2026-01-31 07:17:16,in_transit
S100354,O100354,2024-06-27 02:44:13,in_transit
S100355,O100355,2025-04-16 04:19:28,delayed
S100356,O100356,2024-12-12 22:04:48,delayed
S100357,O100357,2026-01-21 02:56:39,delayed
S100358,O100358,2026-03-18 17:55:54,delayed
S100359,O100359,2025-01-09 09:32:28,delivered
S100360,O100360,2026-03-29 10:31:59,delivered
S100361,O100361,2025-04-08 17:40:59,in_transit
S100362,O100362,2026-01-23 02:10:17,delivered
S100363,O100363,2024-10-02 19:34:45,delivered
S100364,O100364,2025-03-14 04:20:16,in_transit
S100365,O100365,2026-04-14 19:08:34,delivered
S100366,O100366,2025-06-09 05:36:53,delivered
S100367,O100367,2025-12-31 02:08:48,delayed
S100368,O100368,2025-08-22 23:36:42,delayed
S100369,O100369,2026-04-10 08:05:30,in_transit
S100370,O100370,2025-05-30 08:08:22,delayed
S100371,O100371,2025-08-19 10:48:40,delivered
S100372,O100372,2024-12-16 00:44:13,delayed
S100373,O100373,2024-11-18 14:55:06,delayed
S100374,O100374,2026-03-17 21:08:03,in_transit
S100375,O100375,2025-01-13 04:00:55,delivered
S100376,O100376,2024-08-19 01:09:32,in_transit
S100377,O100377,2025-05-26 23:56:44,delivered
S100378,O100378,2025-06-21 11:23:32,delivered
S100379,O100379,2025-01-24 00:05:40,delivered
S100380,O100380,2025-09-23 03:00:55,delayed
S100381,O100381,2025-07-19 14:27:15,in_transit
S100382,O100382,2024-11-19 14:20:27,delivered
S100383,O100383,2026-03-09 12:45:21,delayed
S100384,O100384,2025-11-07 11:07:29,in_transit
S100385,O100385,2025-05-08 15:31:52,delayed
S100386,O100386,2025-05-16 21:22:09,delayed
S100387,O100387,2024-07-02 15:35:25,delivered
S100388,O100388,2026-01-17 08:07:12,in_transit
S100389,O100389,2026-05-13 03:07:26,delayed
S100390,O100390,2025-06-22 05:51:01,delayed
S100391,O100391,2024-06-27 14:52:29,delayed
S100392,O100392,2026-02-18 18:38:54,delayed
S100393,O100393,2026-05-08 01:22:58,delivered
S100394,O100394,2026-02-14 22:31:12,delivered
S100395,O100395,2026-05-02 08:23:34,in_transit
S100396,O100396,2025-01-28 15:20:47,delayed
S100397,O100397,2026-05-16 23:42:20,delivered
S100398,O100398,2025-04-24 03:54:59,in_transit
S100399,O100399,2025-08-04 21:22:57,in_transit
S100400,O100400,2025-09-25 18:51:47,delivered
S100401,O100401,2026-06-04 13:55:01,delivered
S100402,O100402,2025-07-21 08:59:29,delayed
S100403,O100403,2025-07-24 13:48:45,delivered
S100404,O100404,2025-05-30 16:47:57,delivered
S100405,O100405,2025-02-13 17:07:36,delivered
S100406,O100406,2026-05-21 05:38:17,in_transit
S100407,O100407,2025-01-13 08:07:17,delivered
S100408,O100408,2026-01-25 10:05:45,in_transit
S100409,O100409,2024-10-01 22:44:20,in_transit
S100410,O100410,2025-10-04 00:14:24,delivered
S100411,O100411,2024-09-17 20:16:08,in_transit
S100412,O100412,2025-06-14 05:23:21,delayed
S100413,O100413,2026-04-11 12:08:29,delayed
S100414,O100414,2026-04-18 06:07:17,in_transit
S100415,O100415,2024-12-01 01:08:57,delivered
S100416,O100416,2025-09-01 15:54:48,delivered
S100417,O100417,2024-08-31 20:40:40,in_transit
S100418,O100418,2026-02-17 13:21:57,delivered
S100419,O100419,2024-07-22 18:00:08,in_transit
S100420,O100420,2025-02-15 21:10:54,delayed
S100421,O100421,2025-05-08 03:13:57,in_transit
S100422,O100422,2024-07-04 00:09:59,in_transit
S100423,O100423,2024-08-16 21:57:43,delayed
S100424,O100424,2024-11-14 01:34:56,delayed
S100425,O100425,2025-04-10 01:51:27,in_transit
S100426,O100426,2024-06-10 19:26:42,delayed
S100427,O100427,2026-04-05 16:02:03,delayed
S100428,O100428,2025-04-06 14:08:14,delivered
S100429,O100429,2024-07-05 13:53:28,delayed
S100430,O100430,2025-04-11 07:49:33,delayed
S100431,O100431,2025-04-19 16:25:02,in_transit
S100432,O100432,2025-11-06 13:53:02,delayed
S100433,O100433,2025-11-14 20:37:54,in_transit
S100434,O100434,2024-11-15 04:51:34,delivered
S100435,O100435,2025-03-05 18:54:19,in_transit
S100436,O100436,2024-11-01 02:53:41,in_transit
S100437,O100437,2026-01-29 18:28:04,delivered
S100438,O100438,2026-05-04 12:04:28,delivered
S100439,O100439,2024-07-12 10:20:16,delayed
S100440,O100440,2026-02-05 14:25:37,in_transit
S100441,O100441,2026-01-23 08:40:58,in_transit
S100442,O100442,2025-05-17 18:19:03,in_transit
S100443,O100443,2024-09-23 21:20:03,delivered
S100444,O100444,2025-07-02 09:52:26,in_transit
S100445,O100445,2025-08-09 00:28:03,delayed
S100446,O100446,2026-02-08 04:26:43,delivered
S100447,O100447,2025-02-01 00:08:30,in_transit
S100448,O100448,2025-05-06 19:57:56,delivered
S100449,O100449,2025-09-19 01:25:47,delivered
S100450,O100450,2025-12-15 02:09:03,delivered
S100451,O100451,2024-07-11 21:34:05,in_transit
S100452,O100452,2025-05-07 09:37:27,in_transit
S100453,O100453,2025-04-05 12:45:02,delayed
S100454,O100454,2024-09-23 19:31:24,delivered
S100455,O100455,2026-01-01 13:55:08,in_transit
S100456,O100456,2025-10-01 20:50:29,in_transit
S100457,O100457,2025-09-03 15:28:15,delayed
S100458,O100458,2025-08-20 12:03:38,in_transit
S100459,O100459,2024-07-31 22:57:28,in_transit
S100460,O100460,2024-08-20 08:53:50,in_transit
S100461,O100461,2026-01-20 09:51:32,delivered
S100462,O100462,2026-02-06 11:58:07,delayed
S100463,O100463,2026-05-11 06:24:04,delayed
S100464,O100464,2025-08-11 00:59:35,delayed
S100465,O100465,2025-10-29 23:09:25,in_transit
S100466,O100466,2026-03-20 12:38:12,in_transit
S100467,O100467,2024-09-18 22:48:15,in_transit
S100468,O100468,2025-03-01 19:44:04,delivered
S100469,O100469,2025-10-16 03:08:15,delivered
S100470,O100470,2024-12-28 12:37:15,delayed
S100471,O100471,2026-02-11 18:11:44,delivered
S100472,O100472,2024-11-29 23:13:20,delivered
S100473,O100473,2025-07-13 22:51:25,in_transit
S100474,O100474,2025-10-31 04:17:45,in_transit
S100475,O100475,2024-11-16 15:06:15,delayed
S100476,O100476,2025-12-03 10:09:03,in_transit
S100477,O100477,2026-05-16 23:33:04,in_transit
S100478,O100478,2025-11-25 22:52:40,delivered
S100479,O100479,2025-03-23 00:09:16,delayed
S100480,O100480,2025-10-22 23:15:48,delivered
S100481,O100481,2026-02-13 23:31:06,delayed
S100482,O100482,2026-02-07 02:04:51,delayed
S100483,O100483,2026-03-02 23:11:26,in_transit
S100484,O100484,2024-07-23 23:08:59,delivered
S100485,O100485,2024-11-22 07:23:17,delivered
S100486,O100486,2025-11-04 13:29:38,in_transit
S100487,O100487,2025-04-29 19:50:58,delayed
S100488,O100488,2024-09-17 17:07:27,delayed
S100489,O100489,2025-04-12 23:06:13,delayed
S100490,O100490,2026-04-27 13:23:37,delayed
S100491,O100491,2025-02-01 18:08:20,in_transit
S100492,O100492,2025-07-22 17:50:07,delayed
S100493,O100493,2024-12-15 17:05:23,delivered
S100494,O100494,2024-12-19 20:15:46,delayed
S100495,O100495,2024-10-13 09:29:04,delayed
S100496,O100496,2025-11-09 00:26:36,delayed
S100497,O100497,2024-08-23 05:26:11,in_transit
S100498,O100498,2026-01-12 22:18:24,delayed
S100499,O100499,2024-09-15 21:49:25,in_transit
S100500,O100500,2026-01-04 03:23:25,delivered
S100501,O100501,2025-02-25 04:16:28,delayed
S100502,O100502,2025-05-16 10:24:26,delayed
S100503,O100503,2025-04-27 21:24:12,delivered
S100504,O100504,2025-04-25 14:21:52,delayed
S100505,O100505,2024-06-13 09:31:40,delayed
S100506,O100506,2024-11-19 18:56:53,in_transit
S100507,O100507,2025-04-04 09:53:46,in_transit
S100508,O100508,2025-10-19 04:02:28,delivered
S100509,O100509,2026-01-27 20:25:18,in_transit
S100510,O100510,2025-08-30 14:26:19,in_transit
S100511,O100511,2025-04-14 10:01:28,delivered
S100512,O100512,2024-08-13 23:18:50,delivered
S100513,O100513,2025-08-06 07:46:15,delayed
S100514,O100514,2025-04-16 01:07:15,delayed
S100515,O100515,2025-12-01 07:15:39,delayed
S100516,O100516,2026-06-04 23:42:54,delayed
S100517,O100517,2026-03-09 03:22:12,in_transit
S100518,O100518,2024-10-25 07:30:08,in_transit
S100519,O100519,2025-12-11 07:15:39,delivered
S100520,O100520,2026-04-22 17:56:44,delivered
S100521,O100521,2025-09-19 00:25:58,in_transit
S100522,O100522,2025-04-06 12:34:45,delayed
S100523,O100523,2025-09-01 11:13:46,delayed
S100524,O100524,2025-01-16 20:10:14,delayed
S100525,O100525,2026-03-17 12:24:57,delayed
S100526,O100526,2025-08-13 01:08:53,delivered
S100527,O100527,2025-10-21 21:36:17,in_transit
S100528,O100528,2025-11-26 11:47:57,delivered
S100529,O100529,2025-04-24 11:40:18,in_transit
S100530,O100530,2024-07-13 00:57:26,delayed
S100531,O100531,2025-09-04 04:35:17,delivered
S100532,O100532,2025-12-26 18:31:39,in_transit
S100533,O100533,2025-08-24 05:10:35,in_transit
S100534,O100534,2024-08-03 07:51:31,in_transit
S100535,O100535,2024-07-30 02:11:00,in_transit
S100536,O100536,2025-06-30 19:46:58,delayed
S100537,O100537,2026-01-28 23:52:26,delayed
S100538,O100538,2025-06-04 15:09:08,in_transit
S100539,O100539,2024-12-07 12:58:01,in_transit
S100540,O100540,2025-05-18 20:18:49,in_transit
S100541,O100541,2025-04-05 22:45:57,delayed
S100542,O100542,2024-07-12 18:18:40,delivered
S100543,O100543,2025-10-22 02:56:31,in_transit
S100544,O100544,2025-01-26 12:25:02,delivered
S100545,O100545,2024-09-02 22:06:23,delayed
S100546,O100546,2025-03-04 13:43:16,delayed
S100547,O100547,2024-12-29 20:10:24,delayed
S100548,O100548,2024-10-06 00:21:01,delayed
S100549,O100549,2026-05-27 08:30:41,delayed
S100550,O100550,2025-02-15 09:33:26,delivered
